CD_SETOR,CD_AGSN,NM_AGSN,CD_MUNICIP,NM_MUNICIP,CD_UF,SG_UF
355030828000167,35503080076,PRAÇA ONZE,3550308,SÃO PAULO,35,SP
355030828000169,35503080561,DEDO MÁGICO,3550308,SÃO PAULO,35,SP
355030828000170,35503080076,PRAÇA ONZE,3550308,SÃO PAULO,35,SP
355030828000171,35503081049,VERONIA II,3550308,SÃO PAULO,35,SP
355030828000173,35503081050,SAPOLÂNDIA,3550308,SÃO PAULO,35,SP
355030828000174,35503081051,VILA CISPER,3550308,SÃO PAULO,35,SP
355030828000175,35503081051,VILA CISPER,3550308,SÃO PAULO,35,SP
355030828000176,35503081052,TEÓLOGO JOHN WESLEY,3550308,SÃO PAULO,35,SP
355030828000177,35503081053,DENDEZEIRO,3550308,SÃO PAULO,35,SP
355030828000178,35503081054,POLINÉSIA,3550308,SÃO PAULO,35,SP
355030829000038,35503080082,VILA PALMEIRA,3550308,SÃO PAULO,35,SP
355030829000075,35503080054,VILA ACRE,3550308,SÃO PAULO,35,SP
355030829000125,35503080108,VILA REGINA,3550308,SÃO PAULO,35,SP
355030829000129,35503080019,MATOSO,3550308,SÃO PAULO,35,SP
355030829000234,35503080976,INFERNINHO,3550308,SÃO PAULO,35,SP
355030830000010,35503080644,JARDIM ITAJAÍ,3550308,SÃO PAULO,35,SP
355030830000024,35503080731,VILA NASCENTE,3550308,SÃO PAULO,35,SP
355030830000025,35503080731,VILA NASCENTE,3550308,SÃO PAULO,35,SP
355030830000026,35503080731,VILA NASCENTE,3550308,SÃO PAULO,35,SP
355030830000028,35503080639,BARRO BRANCO,3550308,SÃO PAULO,35,SP
355030830000035,35503080650,JARDIM NORONHA,3550308,SÃO PAULO,35,SP
355030830000041,35503080716,JARDIM ALMEIDA E SETE DE SETEMBRO,3550308,SÃO PAULO,35,SP
355030830000043,35503080645,JARDIM TRÊS CORAÇÕES,3550308,SÃO PAULO,35,SP
355030830000053,35503080510,GRAJAÚ II,3550308,SÃO PAULO,35,SP
355030830000055,35503080488,BORORÉ,3550308,SÃO PAULO,35,SP
355030830000056,35503080488,BORORÉ,3550308,SÃO PAULO,35,SP
355030830000057,35503080498,COCAIA,3550308,SÃO PAULO,35,SP
355030830000067,35503080650,JARDIM NORONHA,3550308,SÃO PAULO,35,SP
355030830000072,35503080467,JARDIM MORAES PRADO,3550308,SÃO PAULO,35,SP
355030830000081,35503080781,FELÍCIA,3550308,SÃO PAULO,35,SP
355030830000082,35503080781,FELÍCIA,3550308,SÃO PAULO,35,SP
355030830000083,35503080781,FELÍCIA,3550308,SÃO PAULO,35,SP
355030830000086,35503080646,JARDIM SANTA FÉ I,3550308,SÃO PAULO,35,SP
355030830000103,35503080635,NOVA GARAU,3550308,SÃO PAULO,35,SP
355030830000104,35503080635,NOVA GARAU,3550308,SÃO PAULO,35,SP
355030830000110,35503080498,COCAIA,3550308,SÃO PAULO,35,SP
355030830000111,35503080498,COCAIA,3550308,SÃO PAULO,35,SP
355030830000119,35503080907,PARQUE COCAIA VII,3550308,SÃO PAULO,35,SP
355030830000120,35503080908,PARQUE COCAIA VI,3550308,SÃO PAULO,35,SP
355030830000121,35503080907,PARQUE COCAIA VII,3550308,SÃO PAULO,35,SP
355030830000122,35503080909,CANTINHO DO CÉU III,3550308,SÃO PAULO,35,SP
355030830000123,35503080651,JARDIM ZILDA,3550308,SÃO PAULO,35,SP
355030830000124,35503080910,CANTINHO DE CÉU V,3550308,SÃO PAULO,35,SP
355030830000125,35503080714,JARDIM MYRNA,3550308,SÃO PAULO,35,SP
355030830000126,35503080911,CANTINHO DO CÉU VII,3550308,SÃO PAULO,35,SP
355030830000127,35503080912,CANTINHO DO CÉU VIII,3550308,SÃO PAULO,35,SP
355030830000128,35503080913,CANTINHO DO CÉU IX,3550308,SÃO PAULO,35,SP
355030830000129,35503080914,CANTINHO DO CÉU X,3550308,SÃO PAULO,35,SP
355030830000131,35503080782,NATAL,3550308,SÃO PAULO,35,SP
355030830000132,35503080636,PARQUE EUROPA II,3550308,SÃO PAULO,35,SP
355030830000137,35503080651,JARDIM ZILDA,3550308,SÃO PAULO,35,SP
355030830000139,35503081337,PARQUE COCAIA II,3550308,SÃO PAULO,35,SP
355030830000161,35503080485,PARQUE GRAJAÚ III,3550308,SÃO PAULO,35,SP
355030830000165,35503081338,JARDIM ICARAÍ II E III,3550308,SÃO PAULO,35,SP
355030830000169,35503080627,PARQUE DO COCAIA I,3550308,SÃO PAULO,35,SP
355030830000181,35503080915,PARQUE GRAJAÚ,3550308,SÃO PAULO,35,SP
355030830000183,35503081339,PARQUE RESIDENCIAL COCAIA 'A',3550308,SÃO PAULO,35,SP
355030830000184,35503081339,PARQUE RESIDENCIAL COCAIA 'A',3550308,SÃO PAULO,35,SP
355030830000196,35503080209,MORRO DA ALEGRIA,3550308,SÃO PAULO,35,SP
355030830000197,35503080209,MORRO DA ALEGRIA,3550308,SÃO PAULO,35,SP
355030830000198,35503080916,CANTINHO DO CÉU XIV,3550308,SÃO PAULO,35,SP
355030830000199,35503080917,CANTINHO DO CÉU XV,3550308,SÃO PAULO,35,SP
355030830000200,35503080440,PARQUE SÃO PAULO,3550308,SÃO PAULO,35,SP
355030830000201,35503080918,CANTINHO DO CÉU XVII,3550308,SÃO PAULO,35,SP
355030830000202,35503080630,PARQUE PLANALTO,3550308,SÃO PAULO,35,SP
355030830000203,35503080630,PARQUE PLANALTO,3550308,SÃO PAULO,35,SP
355030830000206,35503080485,PARQUE GRAJAÚ III,3550308,SÃO PAULO,35,SP
355030830000213,35503080634,PARQUE GRAJAÚ I,3550308,SÃO PAULO,35,SP
355030830000214,35503080634,PARQUE GRAJAÚ I,3550308,SÃO PAULO,35,SP
355030830000217,35503081340,ALTO DA ALEGRIA,3550308,SÃO PAULO,35,SP
355030830000218,35503081340,ALTO DA ALEGRIA,3550308,SÃO PAULO,35,SP
355030830000221,35503080440,PARQUE SÃO PAULO,3550308,SÃO PAULO,35,SP
355030830000223,35503081341,PARQUE PLANALTO II,3550308,SÃO PAULO,35,SP
355030830000224,35503081342,PARQUE PLANALTO I,3550308,SÃO PAULO,35,SP
355030830000225,35503081342,PARQUE PLANALTO I,3550308,SÃO PAULO,35,SP
355030830000228,35503080420,JARDIM DOS MANACÁS,3550308,SÃO PAULO,35,SP
355030830000236,35503080440,PARQUE SÃO PAULO,3550308,SÃO PAULO,35,SP
355030830000251,35503081343,JARDIM MANACÁS,3550308,SÃO PAULO,35,SP
355030830000256,35503080440,PARQUE SÃO PAULO,3550308,SÃO PAULO,35,SP
355030830000259,35503080440,PARQUE SÃO PAULO,3550308,SÃO PAULO,35,SP
355030830000265,35503080625,PARQUE DO COCAIA II,3550308,SÃO PAULO,35,SP
355030830000268,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000280,35503080919,CANTINHO DO CÉU XX,3550308,SÃO PAULO,35,SP
355030830000281,35503080920,CANTINHO DO CÉU XXI,3550308,SÃO PAULO,35,SP
355030830000282,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000283,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000284,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000285,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000286,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000287,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000289,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000290,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000291,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000292,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000293,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000294,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000295,35503080631,CANTINHO DO CÉU I,3550308,SÃO PAULO,35,SP
355030830000308,35503080650,JARDIM NORONHA,3550308,SÃO PAULO,35,SP
355030830000309,35503080650,JARDIM NORONHA,3550308,SÃO PAULO,35,SP
355030830000310,35503080650,JARDIM NORONHA,3550308,SÃO PAULO,35,SP
355030830000314,35503081305,PARAGUAI,3550308,SÃO PAULO,35,SP
355030830000315,35503081305,PARAGUAI,3550308,SÃO PAULO,35,SP
355030830000316,35503081305,PARAGUAI,3550308,SÃO PAULO,35,SP
